GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
techtest-maven,com.db.dataplatform.techtest.server.api.model,DataEnvelope,18,97,12,10,0,7,10,9,0,8
techtest-maven,com.db.dataplatform.techtest.server.api.model,DataBody,28,116,14,12,0,9,12,12,0,11
techtest-maven,com.db.dataplatform.techtest.server.api.model,DataHeader,57,193,27,21,0,13,23,16,0,15
techtest-maven,com.db.dataplatform.techtest.server.persistence.model,DataHeaderEntity,98,113,26,14,1,11,21,15,2,14
techtest-maven,com.db.dataplatform.techtest.server.persistence.model,DataBodyEntity,75,96,20,12,1,10,17,13,2,12
techtest-maven,com.db.dataplatform.techtest.server.persistence,BlockTypeEnum,0,25,0,0,0,6,0,2,0,2
techtest-maven,com.db.dataplatform.techtest.client.api.model,DataBody,0,16,0,0,0,4,0,4,0,4
techtest-maven,com.db.dataplatform.techtest.client.api.model,DataEnvelope,0,24,0,0,0,5,0,5,0,5
techtest-maven,com.db.dataplatform.techtest.client.api.model,DataHeader,0,24,0,0,0,5,0,5,0,5
techtest-maven,com.db.dataplatform.techtest.client.component.impl,ClientImpl,57,161,7,7,6,28,7,5,0,5
techtest-maven,com.db.dataplatform.techtest.client.component.impl,ClientImpl.new ParameterizedTypeReference() {...},0,3,0,0,0,1,0,1,0,1
techtest-maven,com.db.dataplatform.techtest.client,RestTemplateConfiguration,0,28,0,0,0,5,0,3,0,3
techtest-maven,com.db.dataplatform.techtest.server.component.impl,SaveAndPublishedStatus,10,23,2,2,0,4,2,4,0,4
techtest-maven,com.db.dataplatform.techtest.server.component.impl,SaveAndPublishedStatus.SaveAndPublishStatus,0,21,0,0,0,4,0,1,0,1
techtest-maven,com.db.dataplatform.techtest.server.component.impl,ServerImpl,0,63,0,0,0,12,0,9,0,9
techtest-maven,com.db.dataplatform.techtest.server.component.impl,RetryConfiguration,0,29,0,0,0,9,0,2,0,2
techtest-maven,com.db.dataplatform.techtest.server.mapper,ServerMapperConfiguration,0,19,0,0,0,6,0,2,0,2
techtest-maven,com.db.dataplatform.techtest,EmbeddedDataSourceConfiguration,0,47,0,0,0,15,0,5,0,5
techtest-maven,com.db.dataplatform.techtest,ServiceConfiguration,9,64,0,0,3,15,3,7,3,7
techtest-maven,com.db.dataplatform.techtest,TechTestApplication,30,70,2,2,10,22,3,6,1,6
techtest-maven,com.db.dataplatform.techtest,Constant,3,0,0,0,1,0,1,0,1,0
techtest-maven,com.db.dataplatform.techtest.server.api.controller.swagger,SwaggerConfiguration,0,14,0,0,0,6,0,2,0,2
techtest-maven,com.db.dataplatform.techtest.server.component.impl.hadoop,TransactionAwareHadoopPublisher,0,29,0,0,0,9,0,3,0,3
techtest-maven,com.db.dataplatform.techtest.server.component.impl.hadoop,HadoopWithCircuitBreakerAndRetryPublisher,10,70,2,2,1,13,2,4,0,4
techtest-maven,com.db.dataplatform.techtest.server.exception,HadoopClientException,0,5,0,0,0,2,0,1,0,1
techtest-maven,com.db.dataplatform.techtest.server.service.impl,DataBodyServiceImpl,9,121,1,1,1,22,1,8,0,8
techtest-maven,com.db.dataplatform.techtest.server.service.impl,DataHeaderServiceImpl,9,74,2,2,1,11,2,7,0,7
techtest-maven,com.db.dataplatform.techtest.server.api.controller,HadoopDummyServerController,7,36,1,1,2,9,1,3,0,3
techtest-maven,com.db.dataplatform.techtest.server.api.controller,ServerController,31,119,0,4,4,18,4,8,4,6
techtest-maven,com.db.dataplatform.techtest.server.api,RestResponseEntityExceptionHandler,74,3,0,0,14,1,4,1,4,1
